Change Component Footprint: Designator=Q2_P1 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P2 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P3 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P4 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P5 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P6 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P7 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P8 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change component parameters: Designator = "J7"; Footprint = "JST-S3B-XH-A(LF)(SN)_V"; UniqueID = "\UEJRVOYF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Current Rating"; Value = "3.00 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "1.00 GO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "S3B-XH-A(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "JST Sales America"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Male Header, Pitch 2.5 mm, 1 x 3 Position, Height 6.1 mm, Tail Length 3.4 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "S3B-XH-A(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C157928"; VariantName = "[No Variations]"
