Altium Designer Pick and Place Locations
C:\Google Drive\Altium Projects\FPGA Interface Board V2\Project Outputs for FPGA Interface Board\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       07/03/21
Time:       02:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Manufacture Part Number"
"RF3","KH-SMA-K513-G","BottomLayer","ANT-TH_KH-SMA-K513-G","907.000","212.000","90","","KH-SMA-K513-G"
"U25","74HC595D,118","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","749.000","1219.000","90","","74HC595D,118"
"U19","74HC595D,118","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","808.000","1667.000","180","","74HC595D,118"
"C34","100nF","BottomLayer","C0603","733.999","1001.000","180","","CC0603KRX7R9BB104"
"C33","100nF","BottomLayer","C0603","932.001","1557.000","360","","CC0603KRX7R9BB104"
"T4","AO3401A","TopLayer","SOT-23-3","1548.000","1133.000","90","",""
"T12","AO3401A","TopLayer","SOT-23-3","1548.598","1399.339","90","",""
"T16","SI2302","TopLayer","SOT-23-3","1421.000","1399.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T8","SI2302","TopLayer","SOT-23-3","1418.000","1133.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"R59","4.7K","TopLayer","R0603","1548.998","1291.000","180","","RC0603FR-071KL"
"R71","4.7K","TopLayer","R0603","1418.998","1290.000","180","","RC0603FR-071KL"
"R67","470","TopLayer","R0603","1166.000","1381.998","270","","RC0603FR-071KL"
"R55","4.7K","TopLayer","R0603","1417.596","1023.661","180","","RC0603FR-071KL"
"R63","220","TopLayer","R0603","1291.002","1289.000","0","","RC0603FR-071KL"
"R51","470","TopLayer","R0603","1169.598","1111.659","270","","RC0603FR-071KL"
